آبسه آمیبی کبد	Amoebic liver abscess
آفت	Lesion
آواز صدری نجوایی	Whispering pectoriloquy
آوازهای اضافی	Added sounds
ابهر	Aorta
اتساع صدر	Chest expansion
احتشای ریوی	Pulmonary embolism / infarction
احتشای مایوکارد	Myocardial infarction
احولال	Squint
اختلاج	Seizure / Fits
اختلال آواز	Dysphonia
اذیما	Oedema
اذین	Atrium
اذین راست	Right atrium
ارتفاع فندس	Symphysis–fundal height
اریتمی	Arrhythmia
اریتمیای جیبی	Sinus arrhythmia
استجواب	Interrogation (history taking)
استفراغ	Vomiting
استمای قصبی	Bronchial asthma
استمای مسلکی	Occupational asthma
اسهال	Diarrhoea
اصغا	Auscultation
اصمیت	Dullness (percussion)
اعتلان	Presentation (fetal)
اعصاب قحفی	Cranial nerves
افرازات گوش	Otorrhoea
التهاب بلعوم	Pharyngitis
التهاب تانسل‌ها	Tonsillitis
التهاب معده	Gastritis
التهاب پانقراس	Pancreatitis
التهاب پریکارد	Pericarditis
التهاب پلورا	Pleurisy
التهاب گوش خارجی	Otitis externa
التهاب گوش متوسط	Otitis media
انتروال	Interval (ECG)
انتقال عظمی	Bone conduction
انتقال هوایی	Air conduction
انحراف محور	Axis deviation
اندوکاردیت انتانی	Infective endocarditis
انشقاق ابهر	Aortic dissection
انصباب تحت ریوی	Subpulmonary effusion
انصباب پلورا	Pleural effusion
انقطاع طمث	Menopause
انوریزم بطینی	Ventricular aneurysm
اهتزاز اصطکاکی	Friction fremitus
اهتزاز مایع	Fluid thrill
اهتزازات صوتی قابل جس	Tactile vocal fremitus
اهتزازات صوتی قابل لمس	Tactile vocal fremitus (TVF)
اگزودت	Exudate
بذل	Aspiration / Tap
بذل قطنی	Lumbar puncture
برنگس گوش	Tinnitus
بزرگ بودن اندازه قلب	Cardiomegaly
بسط	Extension
بصله	Medulla oblongata
بطین	Ventricle
بطین چپ	Left ventricle
بلاک قلبی	Heart block
بلغم	Sputum
بواسیر	Haemorrhoids
بی‌توجهی حسی	Sensory inattention
بی‌حال	Lethargic
بی‌حسی ناحیه عجان	Saddle anaesthesia
تاریخ متوقعه ولادت	Expected date of delivery (EDD)
تاریخچه اجتماعی	Social history
تاریخچه تداوی	Treatment history
تاریخچه خانواده‌گی	Family history
تاریخچه شخصی	Personal history
تاریخچه مرض فعلی	History of presenting illness
تاریخچه گذشته	Past history
تب	Fever / Pyrexia
تب روماتیک	Rheumatic fever
تخریش سحایا	Meningeal irritation
ترانسودت	Transudate
ترس از روشنی	Photophobia
تست انگشت بینی	Finger–nose test
تست تفکیک دو نقطه	Two-point discrimination test
تست دریچه شمروت	Schamroth window test
تست نجوا کردن	Whisper test
تست پاشنه ساق	Heel–shin test
تصبغ زیاد	Hyperpigmentation
تضیق	Stenosis
تضیق دسام ابهر	Aortic stenosis
تضیق مایترل	Mitral stenosis
تطابق	Accommodation
تعصیب	Innervation
تغییر مکان درد	Shifting of pain
تفتیش	Inspection
تفریط فشار وضعیتی	Postural hypotension
تقبض حدقه	Miosis
تموج	Fluctuation
تنفس bronchial	Bronchial breathing
تنفس کودکانه	Puerile breathing
تنگی قلفه	Phimosis
تورم	Swelling
توسع قصبات	Bronchiectasis
تپش قلبی	Palpitation
تکاثف	Consolidation
تکان فک	Jaw jerk
تکرر ادرار	Frequency (urinary)
تکلس	Calcification
تکی‌کاردیای بطینی	Ventricular tachycardia
تیزی دید	Visual acuity
جس	Palpation
جنین	Fetus
حدبه	Pons
حدقه	Pupil
حرکات غیرارادی	Involuntary movements
حساسیت	Tenderness
حساسیت رجعی	Rebound tenderness
حسیت سه بعدی	Stereognosis
حسیت عمیقه	Proprioception
حمل	Pregnancy
خباثت	Malignancy
خسافت	Pallor
خشونت آواز	Hoarseness
خط سیاه	Linea nigra
خط وسط ترقوه	Midclavicular line
خطوط حاملگی	Striae gravidarum
خطوط عرضانی	Beau's lines
خناق	Angina
خون بینی	Epistaxis
خون در ادرار	Haematuria
خونریزی تراشه‌ای	Splinter haemorrhage
درجه حرارت	Temperature
درد راجعه	Referred pain
درد صدری	Chest pain
درد قلبی	Cardiac pain
درد گوش	Otalgia
دسام	Valve
دفع ادرار کم	Oliguria
دهانه قلب	Cardiac output
دیاستول	Diastole
ذروه قلب (ضربان ذروه)	Apex beat
راه رفتن دهلیزی	Vestibular gait
راه رفتن قیچی مانند	Scissor gait
راه رفتن مرغابی‌مانند	Waddling gait
راه رفتن پارکنسنی	Festinant gait
رعشه	Tremor
رعشه استراحتی	Resting tremor
رعشه قصدی	Intention tremor
رعشه نازک	Fine tremor
ریت	Rate
ریتم عقدوی	Nodal (junctional) rhythm
زاویه ضلعی حجاب حاجزی	Costophrenic angle
ساحه دید	Visual field
ساق دماغ	Brainstem
سایکل عادت ماهوار	Menstrual cycle
سحایا	Meninges
سرخکان	Measles
سرخی کف دست	Palmar erythema
سردردی	Headache
سرفه	Cough
سره	Umbilicus
سرچرخی	Vertigo
سرین	Breech
سستول	Systole
سقوط بند دست	Wrist drop
سقوط قدم	Foot drop
سقوط پلک	Ptosis
سندروم ورید اجوف علوی	SVC obstruction
سوءشکل ستون فقرات	Scoliosis
سوزش هنگام تبول	Dysuria
سوفل رحمی	Uterine souffle
سویه شعور	Level of consciousness
سکته دماغی	Stroke
سیانوز	Cyanosis
سیاه زخم	Anthrax
سیاه سرفه	Whooping cough
سیروز کبد	Liver cirrhosis
شخی	Rigidity
شخی گردن	Neck stiffness
شرایین اکلیلی	Coronary arteries
شریان ریوی	Pulmonary artery
شزن	Trachea
شکایات عمده	Chief complaints
شکایات فعلی	Presenting complaints
شکل کبوتر مانند	Pectus carinatum
شیار بزرگ	Major (oblique) fissure
شیار کوچک	Minor (horizontal) fissure
