dari_term,english_term,latin_term,abbreviation,preferred_form,forbidden_forms,source_authority,usage_notes,first_appearance
مریض,Patient,,Pt,مریض,بیمار,Afghan clinical & academic usage,Standard term across all clinical notes and rounds in Afghanistan,00-frontmatter
داکتر,Physician / Doctor,,Dr,داکتر,پزشک,Afghan clinical & academic usage,Standard professional title in Afghanistan,00-frontmatter
شفاخانه,Hospital,,Hosp,شفاخانه,بیمارستان,Afghan MoPH & University usage,Standard Afghan institution name,00-frontmatter
تداوی,Treatment / Management,,Rx,تداوی,درمان,Afghan MoPH & clinical usage,Standard clinical management term,00-frontmatter
دوا,Medication / Drug,,Med,دوا,دارو,Afghan clinical & pharmacy usage,Plural is دواها not داروها,00-frontmatter
معاینه لابراتواری,Laboratory Investigation,,Lab,معاینه لابراتواری,آزمایش;آزمایشگاه,Afghan clinical & academic usage,Standard Afghan clinical phrase,00-frontmatter
شعبه عاجل,Emergency Department,,ED,شعبه عاجل (Emergency Ward),اورژانس;بخش اورژانس,Afghan MoPH usage,Emergency care ward in Afghan hospitals,00-frontmatter
نرس,Nurse,,RN,نرس,پرستار,Afghan MoPH usage,Standard title for nursing staff in Afghanistan,00-frontmatter
انتان,Infection,,Inf,انتان (Infection),عفونت;عفونی,Afghan medical faculty & MoPH,Plural is انتانات,00-frontmatter
فشار بلند خون,Hypertension,,HTN,فشار بلند خون (Hypertension),فشارخون بالا,Afghan clinical practice,Both Dari and English abbreviation HTN accepted,02-cardiovascular
عدم کفایه قلب,Heart Failure,,HF,عدم کفایه قلب (Heart Failure),نارسایی قلب,Afghan university textbook standard,Standard Afghan academic term,02-cardiovascular
عدم کفایه گرده,Kidney / Renal Failure,,RF,عدم کفایه گرده (Renal Failure),نارسایی کلیه,Afghan university textbook standard,Standard Afghan academic term,05-nephrology
عدم کفایه کبد,Liver Failure,,LF,عدم کفایه کبد (Liver Failure),نارسایی کبد,Afghan university textbook standard,Standard Afghan academic term,04-gastroenterology
سکته قلبی,Myocardial Infarction,,MI,سکته قلبی (Myocardial Infarction - MI),انفارکتوس,Afghan clinical practice,MI abbreviation standard in emergency notes,02-cardiovascular
ترومبوز ورید عمقی,Deep Vein Thrombosis,,DVT,ترومبوز ورید عمقی (DVT),,Afghan & international standard,DVT widely used clinically,02-cardiovascular
امبولی ریوی,Pulmonary Embolism,,PE,امبولی ریوی (PE),,Afghan & international standard,PE abbreviation standard,02-cardiovascular
قصبه‌الریه,Trachea,,Trachea,قصبه‌الریه (Trachea),نای,Afghan anatomical & clinical standard,Trachea retained in English,03-respiratory
کسنه‌صفرا,Gallbladder,,GB,کسنه‌صفرا (Gallbladder),کیسه صفرا,Afghan surgical & clinical usage,Also خریطه صفرا accepted,04-gastroenterology
قرحه هضمیه,Peptic Ulcer Disease,,PUD,قرحه هضمیه (Peptic Ulcer),زخم معده,Afghan medical curriculum,Ulcerative disease of stomach and duodenum,04-gastroenterology
انمی,Anemia,,Anemia,انمی / کم‌خونی (Anemia),,Afghan clinical practice,Both Anemia and کم‌خونی are standard,07-hematology
فیصد,Percentage,%,%,فیصد,درصد,Afghan administrative & scientific usage,Standard numerical term,00-frontmatter
