1	داکتری تاریخچه را ناتمام گذاشته و «معاینه کامل سر تا پا» را شروع می‌کند تا «شاید چیزی پیدا شود». مهم‌ترین مشکل این کار چیست؟	معاینه وقت زیاد می‌گیرد	بدون فرضیه از تاریخچه، نمی‌داند دنبال چه بگردد	مریض خسته می‌شود	سامان معاینه کافی نیست	ب	اگر بعد از تاریخچه ندانید دنبال چه هستید، معاینه هم چیزی نمی‌گوید (قانون ۱).
1	مریض سینه‌بغل در روز اول تنفس ۲۲ دارد و در روز دوم ۳۰. کدام جمله درست‌تر است؟	هر دو عدد در حد قبول اند	معاینه یک عکس است؛ تغییر در معاینات مکرر اهمیت دارد	تنها عکس صدر تصمیم را روشن می‌کند	تنفس اهمیت کلینیکی ندارد	ب	مرض را در فلم بشناسید، نه در یک عکس (قانون ۳).
1	بر اساس فصل اول، بیشترین اشتباهات معاینه از کجا می‌آید؟	ندانستن نشانه‌های نادر	نگاه نکردن و کنار نزدن لباس	سامان خراب	لابراتوار ضعیف	ب	بیشتر اشتباهات از نگاه نکردن است، نه از ندانستن (قانون ۲).
2	کدام سؤال، آغاز واقعی قصه مرض را بهتر پیدا می‌کند؟	«از کی درد دارید؟»	«آخرین باری که کاملاً خوب بودید، کی بود؟»	«دوا خورده‌اید؟»	«درد شدید است؟»	ب	این سؤال آغاز واقعی قصه را روشن می‌کند (قانون ۷).
2	در آخر تاریخچه، بهترین کار کدام است؟	فوراً نسخه نوشتن	خلاصه قصه را به مریض پس دادن تا اصلاح کند	تنها به همراه مریض گفتن	تاریخچه را دوباره از اول پرسیدن	ب	هر خلاصه یک فرصت دیگر برای حقیقت است (قانون ۱۰).
2	مریضی تداوی را درست می‌گیرد اما دوباره با همان نگرانی برمی‌گردد. کدام قسمت تاریخچه اکثراً فراموش شده است؟	سابقه جراحی	ترس و نگرانی خود مریض	گروه خون	سابقه واکسین	ب	تا ترس مریض را نشنیده‌اید، تداوی نیم‌کاره است (قانون ۹).
3	مرد ۶۰ ساله دیابتی گیچ به عاجل آورده می‌شود. اولین تست کنار بستر کدام است؟	CT سر	قند خون	الکترولیت‌ها	ECG	ب	در هر مریض بیهوش یا گیچ، اول قند خون (قانون ۱۴).
3	کدام تعریف qSOFA درست است؟	تنفس ۲۲ یا بیشتر، فشار سیستولیک ۱۰۰ یا کمتر، تغییر شعور	تب بالای ۳۹، نبض بالای ۱۲۰، لکوسیت بالا	SpO₂ کمتر از ۹۰، تنفس بالای ۳۰	لاکتات بالای ۴ و فشار پایین	الف	هر معیار یک نمره؛ دو یا بیشتر خطر را نشان می‌دهد (فصل سوم).
3	پیش از دست زدن به مریض، سؤال اول کدام است؟	«چه مرضی دارد؟»	«بدحال است یا نه؟»	«بیمه دارد؟»	«چند روز بستر می‌ماند؟»	ب	سی ثانیه نگاه کنید؛ اول بدحالی را بسنجید (قانون ۱۲).
4	یک LR مساوی ۱ چه معنی دارد؟	تشخیص را ثابت می‌کند	تشخیص را رد می‌کند	احتمال را تغییر نمی‌دهد	احتمال را دو برابر می‌کند	ج	LR یک، یافته‌ای است که هیچ اطلاعی نمی‌دهد (فصل چهارم).
4	پیش از رخصت کردن مریض، مهم‌ترین سؤال کدام است؟	«آیا مریض راضی است؟»	«کشنده‌ترین احتمال چیست و آن را چطور رد کرده‌ام؟»	«آیا نسخه کوتاه است؟»	«آیا بستر خالی داریم؟»	ب	قانون ۱۷: کشنده‌ترین تشخیص را در ذهن رد کنید.
4	مریضی را با تشخیص نامطمئن رخصت می‌کنید. کدام کار ضروری است؟	هیچ؛ خودش برمی‌گردد	شبکه مصونیت: چه ببیند، کی برگردد، به کجا برود	انتی‌بیوتیک احتیاطی	دوای درد قوی	ب	بدون شبکه مصونیت رخصت نکنید (قانون ۱۹).
5	کدام یک‌خطی بهتر است؟	«مریض ما درد دارد.»	«مرد ۶۸ ساله دیابتی و سگرتی با درد فشارنده صدر از دو ساعت.»	«مریض بسیار مریض است.»	«یک کیس جالب داریم.»	ب	کلمات خاص، نه عام؛ عمر، زمینه، شکایت و مدت (فصل پنجم).
5	در یادداشت SOAP، «فشار خون ۹۰/۶۰ و کریپیتیشن قاعده شش» زیر کدام حرف نوشته می‌شود؟	S	O	A	P	ب	O یافته‌های عینی: علایم حیاتی، معاینه و نتایج است.
5	در معرفی شفاهی، کدام قسمت معمولاً درازترین است؟	یک‌خطی	قصه مرض فعلی	سوابق خانوادگی	پلان	ب	قصه مرض فعلی به ترتیب زمان، با مثبت‌ها و منفی‌های مهم (فصل پنجم).
6	مرد جوانی حین فوتبال بیهوش شد و زود به هوش آمد. برخورد درست کدام است؟	اطمینان دادن؛ لابد گرما بود	بیهوشی قلبی تا خلافش ثابت شود؛ ECG و بررسی قلب	تنها آب و نمک	CT سر فقط	ب	بیهوشی در حین فعالیت قلبی است تا خلافش ثابت شود (قانون ۲۴).
6	مریض تب‌دار با مرمر تازه قلبی. قبل از انتی‌بیوتیک چه باید کرد؟	هیچ؛ فوراً انتی‌بیوتیک	کلچر خون	عکس صدر	ECG تنها	ب	به التهاب انتانی شغاف فکر کنید و پیش از انتی‌بیوتیک کلچر خون بگیرید (قانون ۲۵).
6	کدام جمله درباره مرمر دیاستولی درست است؟	اکثراً بی‌گناه است	در اطفال همیشه نارمل است	هر مرمر دیاستولی مرضی است	تنها در حاملگی شنیده می‌شود	ج	هیچ مرمر دیاستولی «بی‌گناه» نیست (قانون ۲۸).
7	پای مریضی ناگهان سرد، رنگ‌پریده، بی‌نبض و بی‌حس شده است. اولین کار؟	الترا ساوند فردا	خبر کردن فوری جراح عروق	دوای درد و انتظار	فزیوتراپی	ب	اسکیمی حاد اندام یک عاجل است (قانون ۳۰).
7	ساق مریضی پندیده و دردناک است. کدام جمله درست است؟	معاینه ساق DVT را ثابت می‌کند	نشانه Homans منفی DVT را رد می‌کند	احتمال را با معیارها بسنجید و بعد آزمایش کنید	تنها کهولت اهمیت دارد	ج	معاینه ساق DVT را نه ثابت می‌کند و نه رد (قانون ۳۱).
7	لمس کتله نبضان‌دار بطن برای ام‌الدم ابهر، در ام‌الدم ۵ سانتی‌متر یا بزرگ‌تر، حساسیت تقریبی کدام است؟	۲۹٪	۵۰٪	۷۶٪	۹۹٪	ج	حساسیت با اندازه بالا می‌رود: ۲۹، ۵۰ و ۷۶٪ (فصل هفتم).
8	مردی قد بلند و لاغر با تنگی نفس ناگهانی، فشار پایین، قصبه‌الریه به یک طرف رانده و آواز تنفسی نبوده در طرف مقابل. کار درست؟	اول عکس صدر	کمپرس سوزنی یا تیوب همان لحظه	نیبولایزر	اسپیرومتری	ب	پنوموتوراکس فشاری یک تشخیص کلینیکی است (قانون ۳۶).
8	سه عضو یک خانواده در زمستان با سردردی و سرچرخی آمده‌اند؛ SpO₂ همه ۹۹٪ است. فکر اول؟	انفلونزا	مسمومیت کاربن مونوکساید؛ پلس اکسی‌متر فریب می‌دهد	میگرن خانوادگی	فشار روانی	ب	در این مسمومیت پلس اکسی‌متر دروغ می‌گوید (قانون ۳۷).
8	قرع مبهم برای انصباب پلورا، LR مثبت تقریبی کدام است؟	۱٫۲	۲٫۵	۸٫۷	۵۰	ج	قرع مبهم قوی‌ترین نشانه است، با LR حدود ۸٫۷ است (فصل هشتم).
9	مریض درد بطن دارد و از درد به خود می‌پیچد. کدام کار درست است؟	دوای درد ندهید تا جراح ببیند	دوای درد بدهید، معاینه را ثبت کنید و دوباره معاینه کنید	تنها انتظار	انتی‌بیوتیک وریدی	ب	دوای درد را از مریض درد بطن دریغ نکنید (قانون ۴۱).
